"Region","P-Code","Sector","Activity Type","Organisation","Activity","Start Date","End Date"
"Beyla","GIN008001","Surveillance & suivi","Superviseurs de proximité","CDC","Equipements pour les superviseurs ",,
"Boké","GIN001002","Surveillance & suivi","Superviseurs de proximité","OMS","Equipements pour les superviseurs ",,
"Boké","GIN001002","Surveillance & suivi","Superviseurs de proximité","CDC","Equipements pour les superviseurs ",,
"Conakry","GIN002001","Surveillance & suivi","Superviseurs de proximité","OMS","Equipements pour les superviseurs ",,
"Conakry","GIN002001","Surveillance & suivi","Superviseurs de proximité","CDC","Equipements pour les superviseurs ",,
"Coyah","GIN005001","Surveillance & suivi","Superviseurs de proximité","OMS","Equipements pour les superviseurs ",,
"Coyah","GIN005001","Surveillance & suivi","Superviseurs de proximité","CDC","Equipements pour les superviseurs ",,
"Coyah","GIN005001","Surveillance & suivi","Superviseurs de proximité","plan","Equipements pour les superviseurs ",,
"Dalaba","GIN007001","Surveillance & suivi","Superviseurs de proximité","OMS","Equipements pour les superviseurs ",,
"Dalaba","GIN007001","Surveillance & suivi","Superviseurs de proximité","CDC","Equipements pour les superviseurs ",,
"Dubreka","GIN005002","Surveillance & suivi","Superviseurs de proximité","OMS","Equipements pour les superviseurs ",,
"Dubreka","GIN005002","Surveillance & suivi","Superviseurs de proximité","CDC","Equipements pour les superviseurs ",,
"Faranah","GIN003003","Surveillance & suivi","Superviseurs de proximité","UNFPA (2)","Equipements pour les superviseurs ",,
"Forecariah","GIN005003","Surveillance & suivi","Superviseurs de proximité","OMS","Equipements pour les superviseurs ",,
"Forecariah","GIN005003","Surveillance & suivi","Superviseurs de proximité","CDC","Equipements pour les superviseurs ",,
"Forecariah","GIN005003","Surveillance & suivi","Superviseurs de proximité","plan","Equipements pour les superviseurs ",,
"Guéckédou","GIN008006","Surveillance & suivi","Superviseurs de proximité","OMS","Equipements pour les superviseurs ",,
"Guéckédou","GIN008006","Surveillance & suivi","Superviseurs de proximité","CDC","Equipements pour les superviseurs ",,
"Guéckédou","GIN008006","Surveillance & suivi","Superviseurs de proximité","plan","Equipements pour les superviseurs ",,
"kankan","GIN004001","Surveillance & suivi","Superviseurs de proximité","UNFPA (9)","Equipements pour les superviseurs ",,
"kankan","GIN004001","Surveillance & suivi","Superviseurs de proximité","CDC","Equipements pour les superviseurs ",,
"Kerouane","GIN004002","Surveillance & suivi","Superviseurs de proximité","UNFPA","Equipements pour les superviseurs ",,
"Kerouane","GIN004002","Surveillance & suivi","Superviseurs de proximité","CDC","Equipements pour les superviseurs ",,
"Kindia","GIN005004","Surveillance & suivi","Superviseurs de proximité","OMS","Equipements pour les superviseurs ",,
"Kindia","GIN005004","Surveillance & suivi","Superviseurs de proximité","CDC","Equipements pour les superviseurs ",,
"Kouroussa","GIN004003","Surveillance & suivi","Superviseurs de proximité","UNFPA (2)","Equipements pour les superviseurs ",,
"Kouroussa","GIN004003","Surveillance & suivi","Superviseurs de proximité","CDC","Equipements pour les superviseurs ",,
"Labe","GIN006002","Surveillance & suivi","Superviseurs de proximité","UNFPA","Equipements pour les superviseurs ",,
"Labe","GIN006002","Surveillance & suivi","Superviseurs de proximité","CDC","Equipements pour les superviseurs ",,
"Lola","GIN008002","Surveillance & suivi","Superviseurs de proximité","OMS","Equipements pour les superviseurs ",,
"Lola","GIN008002","Surveillance & suivi","Superviseurs de proximité","CDC","Equipements pour les superviseurs ",,
"Lola","GIN008002","Surveillance & suivi","Superviseurs de proximité","UNFPA","Equipements pour les superviseurs ",,
"Macenta","GIN008003","Surveillance & suivi","Superviseurs de proximité","OMS","Equipements pour les superviseurs ",,
"Macenta","GIN008003","Surveillance & suivi","Superviseurs de proximité","UNFPA (10)","Equipements pour les superviseurs ",,
"Macenta","GIN008003","Surveillance & suivi","Superviseurs de proximité","CDC","Equipements pour les superviseurs ",,
"Macenta","GIN008003","Surveillance & suivi","Superviseurs de proximité","plan","Equipements pour les superviseurs ",,
"Nzérékoré","GIN008004","Surveillance & suivi","Superviseurs de proximité","UNFPA (18)","Equipements pour les superviseurs ",,
"Nzérékoré","GIN008004","Surveillance & suivi","Superviseurs de proximité","OMS","Equipements pour les superviseurs ",,
"Nzérékoré","GIN008004","Surveillance & suivi","Superviseurs de proximité","CDC","Equipements pour les superviseurs ",,
"Nzérékoré","GIN008004","Surveillance & suivi","Superviseurs de proximité","plan","Equipements pour les superviseurs ",,
"Siguiri","GIN004005","Surveillance & suivi","Superviseurs de proximité","OMS","Equipements pour les superviseurs ",,
"Siguiri","GIN004005","Surveillance & suivi","Superviseurs de proximité","CDC","Equipements pour les superviseurs ",,
"Yomou","GIN008005","Surveillance & suivi","Superviseurs de proximité","UNFPA (18)","Equipements pour les superviseurs ",,
"Yomou","GIN008005","Surveillance & suivi","Superviseurs de proximité","OMS","Equipements pour les superviseurs ",,
"Yomou","GIN008005","Surveillance & suivi","Superviseurs de proximité","CDC","Equipements pour les superviseurs ",,
"Beyla","GIN008001","Surveillance & suivi","Superviseurs de proximité","OMS","Equipements pour les superviseurs ",,
"Beyla","GIN008001","Surveillance & suivi","Superviseurs de proximité","CDC","Equipements pour les superviseurs ",,
"Boké","GIN001002","Surveillance & suivi","Superviseurs de proximité","OMS","Motos pour superviseurs",,
"Boké","GIN001002","Surveillance & suivi","Superviseurs de proximité","CDC","Motos pour superviseurs",,
"Conakry","GIN002001","Surveillance & suivi","Superviseurs de proximité","OMS","Motos pour superviseurs",,
"Conakry","GIN002001","Surveillance & suivi","Superviseurs de proximité","CDC","Motos pour superviseurs",,
"Coyah","GIN005001","Surveillance & suivi","Superviseurs de proximité","OMS","Motos pour superviseurs",,
"Coyah","GIN005001","Surveillance & suivi","Superviseurs de proximité","CDC","Motos pour superviseurs",,
"Coyah","GIN005001","Surveillance & suivi","Superviseurs de proximité","plan","Motos pour superviseurs",,
"Dalaba","GIN007001","Surveillance & suivi","Superviseurs de proximité","OMS","Motos pour superviseurs",,
"Dalaba","GIN007001","Surveillance & suivi","Superviseurs de proximité","CDC","Motos pour superviseurs",,
"Dubreka","GIN005002","Surveillance & suivi","Superviseurs de proximité","OMS","Motos pour superviseurs",,
"Dubreka","GIN005002","Surveillance & suivi","Superviseurs de proximité","CDC","Motos pour superviseurs",,
"Guéckédou","GIN008006","Surveillance & suivi","Superviseurs de proximité","OMS","Motos pour superviseurs",,
"Guéckédou","GIN008006","Surveillance & suivi","Superviseurs de proximité","CDC","Motos pour superviseurs",,
"Guéckédou","GIN008006","Surveillance & suivi","Superviseurs de proximité","plan","Motos pour superviseurs",,
"kankan","GIN004001","Surveillance & suivi","Superviseurs de proximité","UNFPA (9)","Motos pour superviseurs",,
"kankan","GIN004001","Surveillance & suivi","Superviseurs de proximité","CDC","Motos pour superviseurs",,
"Kerouane","GIN004002","Surveillance & suivi","Superviseurs de proximité","UNFPA","Motos pour superviseurs",,
"Kerouane","GIN004002","Surveillance & suivi","Superviseurs de proximité","CDC","Motos pour superviseurs",,
"Kindia","GIN005004","Surveillance & suivi","Superviseurs de proximité","OMS","Motos pour superviseurs",,
"Kindia","GIN005004","Surveillance & suivi","Superviseurs de proximité","CDC","Motos pour superviseurs",,
"Labe","GIN006002","Surveillance & suivi","Superviseurs de proximité","UNFPA","Motos pour superviseurs",,
"Labe","GIN006002","Surveillance & suivi","Superviseurs de proximité","CDC","Motos pour superviseurs",,
"Lola","GIN008002","Surveillance & suivi","Superviseurs de proximité","OMS","Motos pour superviseurs",,
"Lola","GIN008002","Surveillance & suivi","Superviseurs de proximité","CDC","Motos pour superviseurs",,
"Lola","GIN008002","Surveillance & suivi","Superviseurs de proximité","UNFPA","Motos pour superviseurs",,
"Macenta","GIN008003","Surveillance & suivi","Superviseurs de proximité","OMS","Motos pour superviseurs",,
"Macenta","GIN008003","Surveillance & suivi","Superviseurs de proximité","UNFPA (10)","Motos pour superviseurs",,
"Macenta","GIN008003","Surveillance & suivi","Superviseurs de proximité","CDC","Motos pour superviseurs",,
"Macenta","GIN008003","Surveillance & suivi","Superviseurs de proximité","plan","Motos pour superviseurs",,
"Nzérékoré","GIN008004","Surveillance & suivi","Superviseurs de proximité","UNFPA (18)","Motos pour superviseurs",,
"Nzérékoré","GIN008004","Surveillance & suivi","Superviseurs de proximité","OMS","Motos pour superviseurs",,
"Nzérékoré","GIN008004","Surveillance & suivi","Superviseurs de proximité","CDC","Motos pour superviseurs",,
"Nzérékoré","GIN008004","Surveillance & suivi","Superviseurs de proximité","plan","Motos pour superviseurs",,
"Siguiri","GIN004005","Surveillance & suivi","Superviseurs de proximité","OMS","Motos pour superviseurs",,
"Siguiri","GIN004005","Surveillance & suivi","Superviseurs de proximité","CDC","Motos pour superviseurs",,
"Yomou","GIN008005","Surveillance & suivi","Superviseurs de proximité","UNFPA (8)","Motos pour superviseurs",,
"Yomou","GIN008005","Surveillance & suivi","Superviseurs de proximité","OMS","Motos pour superviseurs",,
"Yomou","GIN008005","Surveillance & suivi","Superviseurs de proximité","CDC","Motos pour superviseurs",,
"Beyla","GIN008001","Surveillance & suivi","Superviseurs de proximité","OMS","Carburant de supervision ",,"en cours"
"Beyla","GIN008001","Surveillance & suivi","Superviseurs de proximité","CDC","Carburant de supervision ",,"en cours"
"Boké","GIN001002","Surveillance & suivi","Superviseurs de proximité","OMS","Carburant de supervision ",,"en cours"
"Boké","GIN001002","Surveillance & suivi","Superviseurs de proximité","CDC","Carburant de supervision ",,"en cours"
"Conakry","GIN002001","Surveillance & suivi","Superviseurs de proximité","OMS","Carburant de supervision ",,"en cours"
"Conakry","GIN002001","Surveillance & suivi","Superviseurs de proximité","CDC","Carburant de supervision ",,"en cours"
"Conakry","GIN002001","Surveillance & suivi","Superviseurs de proximité","ACF","Carburant de supervision ",,12/1/2014
"Coyah","GIN005001","Surveillance & suivi","Superviseurs de proximité","OMS","Carburant de supervision ",,
"Coyah","GIN005001","Surveillance & suivi","Superviseurs de proximité","CDC","Carburant de supervision ",,
"Coyah","GIN005001","Surveillance & suivi","Superviseurs de proximité","plan","Carburant de supervision ",,
"Coyah","GIN005001","Surveillance & suivi","Superviseurs de proximité","ACF","Carburant de supervision ",1/1/2015,
"Dalaba","GIN007001","Surveillance & suivi","Superviseurs de proximité","OMS","Carburant de supervision ",,
"Dalaba","GIN007001","Surveillance & suivi","Superviseurs de proximité","CDC","Carburant de supervision ",,
"Dalaba","GIN007001","Surveillance & suivi","Superviseurs de proximité","ACF","Carburant de supervision ",1/12/2015,
"Dubreka","GIN005002","Surveillance & suivi","Superviseurs de proximité","OMS","Carburant de supervision ",,"en cours"
"Dubreka","GIN005002","Surveillance & suivi","Superviseurs de proximité","CDC","Carburant de supervision ",,"en cours"
"Faranah","GIN003003","Surveillance & suivi","Superviseurs de proximité","UNFPA (2)","Carburant de supervision ",,12/31/2014
"Forecariah","GIN005003","Surveillance & suivi","Superviseurs de proximité","OMS","Carburant de supervision ",,
"Forecariah","GIN005003","Surveillance & suivi","Superviseurs de proximité","CDC","Carburant de supervision ",,
"Forecariah","GIN005003","Surveillance & suivi","Superviseurs de proximité","plan","Carburant de supervision ",,
"Forecariah","GIN005003","Surveillance & suivi","Superviseurs de proximité","ACF","Carburant de supervision ",12/22/2014,
"Guéckédou","GIN008006","Surveillance & suivi","Superviseurs de proximité","OMS","Carburant de supervision ",,"en cours"
"Guéckédou","GIN008006","Surveillance & suivi","Superviseurs de proximité","CDC","Carburant de supervision ",,"en cours"
"Guéckédou","GIN008006","Surveillance & suivi","Superviseurs de proximité","PLan","Carburant de supervision ",,"en cours"
"kankan","GIN004001","Surveillance & suivi","Superviseurs de proximité","UNFPA (9)","Carburant de supervision ",,12/31/2014
"kankan","GIN004001","Surveillance & suivi","Superviseurs de proximité","CDC","Carburant de supervision ",,
"Kerouane","GIN004002","Surveillance & suivi","Superviseurs de proximité","UNFPA","Carburant de supervision ",,12/31/2014
"Kerouane","GIN004002","Surveillance & suivi","Superviseurs de proximité","CDC","Carburant de supervision ",,
"Kindia","GIN005004","Surveillance & suivi","Superviseurs de proximité","OMS","Carburant de supervision ",,"en cours"
"Kindia","GIN005004","Surveillance & suivi","Superviseurs de proximité","CDC","Carburant de supervision ",,"en cours"
"Kouroussa","GIN004003","Surveillance & suivi","Superviseurs de proximité","UNFPA (2)","Carburant de supervision ",,12/31/2014
"Kouroussa","GIN004003","Surveillance & suivi","Superviseurs de proximité","CDC","Carburant de supervision ",,
"Labe","GIN006002","Surveillance & suivi","Superviseurs de proximité","UNFPA","Carburant de supervision ",,12/10/2014
"Labe","GIN006002","Surveillance & suivi","Superviseurs de proximité","CDC","Carburant de supervision ",,
"Labe","GIN006002","Surveillance & suivi","Superviseurs de proximité","ACF","Carburant de supervision ",1/5/2015,
"Lola","GIN008002","Surveillance & suivi","Superviseurs de proximité","OMS","Carburant de supervision ",,
"Lola","GIN008002","Surveillance & suivi","Superviseurs de proximité","CDC","Carburant de supervision ",,
"Lola","GIN008002","Surveillance & suivi","Superviseurs de proximité","UNFPA ","Carburant de supervision ",,12/31/2014
"Macenta","GIN008003","Surveillance & suivi","Superviseurs de proximité","OMS","Carburant de supervision ",,
"Macenta","GIN008003","Surveillance & suivi","Superviseurs de proximité","UNFPA (10)","Carburant de supervision ",,12/31/2014
"Macenta","GIN008003","Surveillance & suivi","Superviseurs de proximité","CDC","Carburant de supervision ",,
"Macenta","GIN008003","Surveillance & suivi","Superviseurs de proximité","PLan","Carburant de supervision ",,
"Nzérékoré","GIN008004","Surveillance & suivi","Superviseurs de proximité","UNFPA (18)","Carburant de supervision ",,12/31/2014
"Nzérékoré","GIN008004","Surveillance & suivi","Superviseurs de proximité","OMS","Carburant de supervision ",,
"Nzérékoré","GIN008004","Surveillance & suivi","Superviseurs de proximité","CDC","Carburant de supervision ",,
"Nzérékoré","GIN008004","Surveillance & suivi","Superviseurs de proximité","PLan","Carburant de supervision ",,
"Pita","GIN007003","Surveillance & suivi","Superviseurs de proximité","ACF","Carburant de supervision ",1/12/2015,
"Siguiri","GIN004005","Surveillance & suivi","Superviseurs de proximité","OMS","Carburant de supervision ",,
"Siguiri","GIN004005","Surveillance & suivi","Superviseurs de proximité","CDC","Carburant de supervision ",,
"Siguiri","GIN004005","Surveillance & suivi","Superviseurs de proximité","UNFPA ","Carburant de supervision ",,12/31/2014
"Yomou","GIN008005","Surveillance & suivi","Superviseurs de proximité","UNFPA (8)","Carburant de supervision ",,12/31/2014
"Yomou","GIN008005","Surveillance & suivi","Superviseurs de proximité","OMS","Carburant de supervision ",,
"Yomou","GIN008005","Surveillance & suivi","Superviseurs de proximité","CDC","Carburant de supervision ",,
"Beyla","GIN008001","Surveillance & suivi","Superviseurs de proximité","OMS","Téléphone portable",,"en cours"
"Beyla","GIN008001","Surveillance & suivi","Superviseurs de proximité","CDC","Téléphone portable",,"en cours"
"Boké","GIN001002","Surveillance & suivi","Superviseurs de proximité","OMS","Téléphone portable",,"en cours"
"Boké","GIN001002","Surveillance & suivi","Superviseurs de proximité","CDC","Téléphone portable",,"en cours"
"Conakry","GIN002001","Surveillance & suivi","Superviseurs de proximité","OMS","Téléphone portable",,"en cours"
"Conakry","GIN002001","Surveillance & suivi","Superviseurs de proximité","CDC","Téléphone portable",,"en cours"
"Coyah","GIN005001","Surveillance & suivi","Superviseurs de proximité","OMS","Téléphone portable",,
"Coyah","GIN005001","Surveillance & suivi","Superviseurs de proximité","CDC","Téléphone portable",,
"Coyah","GIN005001","Surveillance & suivi","Superviseurs de proximité","plan","Téléphone portable",,
"Dalaba","GIN007001","Surveillance & suivi","Superviseurs de proximité","OMS","Téléphone portable",,
"Dalaba","GIN007001","Surveillance & suivi","Superviseurs de proximité","CDC","Téléphone portable",,
"Dubreka","GIN005002","Surveillance & suivi","Superviseurs de proximité","OMS","Téléphone portable",,"en cours"
"Dubreka","GIN005002","Surveillance & suivi","Superviseurs de proximité","CDC","Téléphone portable",,"en cours"
"Faranah","GIN003003","Surveillance & suivi","Superviseurs de proximité","UNFPA","Téléphone portable",,
"Faranah","GIN003003","Surveillance & suivi","Superviseurs de proximité","Columbia Univ (2/3)","Téléphone portable",,
"Forecariah","GIN005003","Surveillance & suivi","Superviseurs de proximité","OMS","Téléphone portable",,
"Forecariah","GIN005003","Surveillance & suivi","Superviseurs de proximité","CDC","Téléphone portable",,
"Forecariah","GIN005003","Surveillance & suivi","Superviseurs de proximité","plan","Téléphone portable",,
"Guéckédou","GIN008006","Surveillance & suivi","Superviseurs de proximité","OMS","Téléphone portable",,
"Guéckédou","GIN008006","Surveillance & suivi","Superviseurs de proximité","CDC","Téléphone portable",,
"Guéckédou","GIN008006","Surveillance & suivi","Superviseurs de proximité","plan","Téléphone portable",,
"kankan","GIN004001","Surveillance & suivi","Superviseurs de proximité","UNFPA","Téléphone portable",,
"kankan","GIN004001","Surveillance & suivi","Superviseurs de proximité","Columbia Univ (2/3)","Téléphone portable",,
"Kerouane","GIN004002","Surveillance & suivi","Superviseurs de proximité","UNFPA","Téléphone portable",,
"Kerouane","GIN004002","Surveillance & suivi","Superviseurs de proximité","Columbia Univ (2/3)","Téléphone portable",,
"Kindia","GIN005004","Surveillance & suivi","Superviseurs de proximité","OMS","Téléphone portable",,
"Kindia","GIN005004","Surveillance & suivi","Superviseurs de proximité","CDC","Téléphone portable",,
"Kouroussa","GIN004003","Surveillance & suivi","Superviseurs de proximité","UNFPA","Téléphone portable",,
"Kouroussa","GIN004003","Surveillance & suivi","Superviseurs de proximité","Columbia Univ (2/3)","Téléphone portable",,
"Labe","GIN006002","Surveillance & suivi","Superviseurs de proximité","UNFPA","Téléphone portable",,
"Labe","GIN006002","Surveillance & suivi","Superviseurs de proximité","CDC","Téléphone portable",,
"Lola","GIN008002","Surveillance & suivi","Superviseurs de proximité","UNFPA","Téléphone portable",,
"Lola","GIN008002","Surveillance & suivi","Superviseurs de proximité","Columbia Univ (2/3)","Téléphone portable",,
"Macenta","GIN008003","Surveillance & suivi","Superviseurs de proximité","UNFPA","Téléphone portable",,
"Macenta","GIN008003","Surveillance & suivi","Superviseurs de proximité","Columbia Univ (2/3)","Téléphone portable",,
"Nzérékoré","GIN008004","Surveillance & suivi","Superviseurs de proximité","UNFPA","Téléphone portable",,12/20/2014
"Nzérékoré","GIN008004","Surveillance & suivi","Superviseurs de proximité","Columbia Univ (2/3)","Téléphone portable",,12/20/2014
"Siguiri","GIN004005","Surveillance & suivi","Superviseurs de proximité","UNFPA","Téléphone portable",,
"Siguiri","GIN004005","Surveillance & suivi","Superviseurs de proximité","Columbia Univ (2/3)","Téléphone portable",,
"Yomou","GIN008005","Surveillance & suivi","Superviseurs de proximité","OMS","Téléphone portable",,
"Yomou","GIN008005","Surveillance & suivi","Superviseurs de proximité","CDC","Téléphone portable",,
"Beyla","GIN008001","Surveillance & suivi","Superviseurs de proximité","OMS","Credit mensuel de Communication ",,"en cours"
"Beyla","GIN008001","Surveillance & suivi","Superviseurs de proximité","CDC","Credit mensuel de Communication ",,"en cours"
"Boké","GIN001002","Surveillance & suivi","Superviseurs de proximité","OMS","Credit mensuel de Communication ",,"en cours"
"Boké","GIN001002","Surveillance & suivi","Superviseurs de proximité","CDC","Credit mensuel de Communication ",,"en cours"
"Conakry","GIN002001","Surveillance & suivi","Superviseurs de proximité","OMS","Credit mensuel de Communication ",,
"Conakry","GIN002001","Surveillance & suivi","Superviseurs de proximité","CDC","Credit mensuel de Communication ",,
"Conakry","GIN002001","Surveillance & suivi","Superviseurs de proximité","ACF","Credit mensuel de Communication ",,11/1/2014
"Conakry","GIN002001","Surveillance & suivi","Superviseurs de proximité","save the Children ","Credit mensuel de Communication ",,12/1/2014
"Coyah","GIN005001","Surveillance & suivi","Superviseurs de proximité","OMS","Credit mensuel de Communication ",,
"Coyah","GIN005001","Surveillance & suivi","Superviseurs de proximité","CDC","Credit mensuel de Communication ",,
"Coyah","GIN005001","Surveillance & suivi","Superviseurs de proximité","plan","Credit mensuel de Communication ",,
"Coyah","GIN005001","Surveillance & suivi","Superviseurs de proximité","ACF","Credit mensuel de Communication ",,
"Dalaba","GIN007001","Surveillance & suivi","Superviseurs de proximité","OMS","Credit mensuel de Communication ",,
"Dalaba","GIN007001","Surveillance & suivi","Superviseurs de proximité","CDC","Credit mensuel de Communication ",,
"Dalaba","GIN007001","Surveillance & suivi","Superviseurs de proximité","ACF","Credit mensuel de Communication ",1/12/2015,
"Dubreka","GIN005002","Surveillance & suivi","Superviseurs de proximité","OMS","Credit mensuel de Communication ",,"en cours"
"Dubreka","GIN005002","Surveillance & suivi","Superviseurs de proximité","CDC","Credit mensuel de Communication ",,"en cours"
"Faranah","GIN003003","Surveillance & suivi","Superviseurs de proximité","UNFPA","Credit mensuel de Communication ",,12/21/2014
"Forecariah","GIN005003","Surveillance & suivi","Superviseurs de proximité","OMS","Credit mensuel de Communication ",,
"Forecariah","GIN005003","Surveillance & suivi","Superviseurs de proximité","CDC","Credit mensuel de Communication ",,
"Forecariah","GIN005003","Surveillance & suivi","Superviseurs de proximité","ACF","Credit mensuel de Communication ",12/22/2014,
"Guéckédou","GIN008006","Surveillance & suivi","Superviseurs de proximité","OMS","Credit mensuel de Communication ",,"en cours"
"Guéckédou","GIN008006","Surveillance & suivi","Superviseurs de proximité","CDC","Credit mensuel de Communication ",,"en cours"
"Guéckédou","GIN008006","Surveillance & suivi","Superviseurs de proximité","plan","Credit mensuel de Communication ",,"en cours"
"kankan","GIN004001","Surveillance & suivi","Superviseurs de proximité","UNFPA","Credit mensuel de Communication ",,12/10/2014
"kankan","GIN004001","Surveillance & suivi","Superviseurs de proximité","CDC","Credit mensuel de Communication ",,
"Kerouane","GIN004002","Surveillance & suivi","Superviseurs de proximité","UNFPA","Credit mensuel de Communication ",,11/1/2014
"Kerouane","GIN004002","Surveillance & suivi","Superviseurs de proximité","CDC","Credit mensuel de Communication ",,
"Kindia","GIN005004","Surveillance & suivi","Superviseurs de proximité","OMS","Credit mensuel de Communication ",,"en cours"
"Kindia","GIN005004","Surveillance & suivi","Superviseurs de proximité","CDC","Credit mensuel de Communication ",,"en cours"
"Kouroussa","GIN004003","Surveillance & suivi","Superviseurs de proximité","UNFPA","Credit mensuel de Communication ",,11/15/2014
"Kouroussa","GIN004003","Surveillance & suivi","Superviseurs de proximité","CDC","Credit mensuel de Communication ",,
"Labe","GIN006002","Surveillance & suivi","Superviseurs de proximité","UNFPA","Credit mensuel de Communication ",,12/10/2014
"Labe","GIN006002","Surveillance & suivi","Superviseurs de proximité","CDC","Credit mensuel de Communication ",,
"Labe","GIN006002","Surveillance & suivi","Superviseurs de proximité","ACF","Credit mensuel de Communication ",1/5/2015,
"Lola","GIN008002","Surveillance & suivi","Superviseurs de proximité","OMS","Credit mensuel de Communication ",,"en cours"
"Lola","GIN008002","Surveillance & suivi","Superviseurs de proximité","CDC","Credit mensuel de Communication ",,"en cours"
"Lola","GIN008002","Surveillance & suivi","Superviseurs de proximité","UNFPA","Credit mensuel de Communication ",,"en cours"
"Macenta","GIN008003","Surveillance & suivi","Superviseurs de proximité","OMS","Credit mensuel de Communication ",,
"Macenta","GIN008003","Surveillance & suivi","Superviseurs de proximité","UNFPA","Credit mensuel de Communication ",,11/15/2014
"Macenta","GIN008003","Surveillance & suivi","Superviseurs de proximité","CDC","Credit mensuel de Communication ",,
"Macenta","GIN008003","Surveillance & suivi","Superviseurs de proximité","plan","Credit mensuel de Communication ",,
"Nzérékoré","GIN008004","Surveillance & suivi","Superviseurs de proximité","UNFPA","Credit mensuel de Communication ",,11/15/2014
"Nzérékoré","GIN008004","Surveillance & suivi","Superviseurs de proximité","OMS","Credit mensuel de Communication ",,
"Nzérékoré","GIN008004","Surveillance & suivi","Superviseurs de proximité","CDC","Credit mensuel de Communication ",,
"Nzérékoré","GIN008004","Surveillance & suivi","Superviseurs de proximité","plan","Credit mensuel de Communication ",,
"Pita","GIN007003","Surveillance & suivi","Superviseurs de proximité","ACF","Credit mensuel de Communication ",1/12/2015,
"Siguiri","GIN004005","Surveillance & suivi","Superviseurs de proximité","OMS","Credit mensuel de Communication ",,"en cours"
"Siguiri","GIN004005","Surveillance & suivi","Superviseurs de proximité","CDC","Credit mensuel de Communication ",,"en cours"
"Yomou","GIN008005","Surveillance & suivi","Superviseurs de proximité","UNFPA","Credit mensuel de Communication ",,11/15/2014
"Yomou","GIN008005","Surveillance & suivi","Superviseurs de proximité","OMS","Credit mensuel de Communication ",,
"Yomou","GIN008005","Surveillance & suivi","Superviseurs de proximité","CDC","Credit mensuel de Communication ",,
"Beyla","GIN008001","Surveillance & suivi","Superviseurs de district","OMS","Formation de superviseurs de district",,"en ecours"
"Beyla","GIN008001","Surveillance & suivi","Superviseurs de district","CDC","Formation de superviseurs de district",,"en ecours"
"Boké","GIN001002","Surveillance & suivi","Superviseurs de district","OMS","Formation de superviseurs de district",,"en ecours"
"Boké","GIN001002","Surveillance & suivi","Superviseurs de district","CDC","Formation de superviseurs de district",,"en ecours"
"Conakry","GIN002001","Surveillance & suivi","Superviseurs de district","OMS","Formation de superviseurs de district",,
"Conakry","GIN002001","Surveillance & suivi","Superviseurs de district","CDC","Formation de superviseurs de district",,
"Coyah","GIN005001","Surveillance & suivi","Superviseurs de district","OMS","Formation de superviseurs de district",,
"Coyah","GIN005001","Surveillance & suivi","Superviseurs de district","CDC","Formation de superviseurs de district",,
"Coyah","GIN005001","Surveillance & suivi","Superviseurs de district","plan","Formation de superviseurs de district",,
"Dalaba","GIN007001","Surveillance & suivi","Superviseurs de district","OMS","Formation de superviseurs de district",,
"Dalaba","GIN007001","Surveillance & suivi","Superviseurs de district","CDC","Formation de superviseurs de district",,
"Dubreka","GIN005002","Surveillance & suivi","Superviseurs de district","OMS","Formation de superviseurs de district",,"en ecours"
"Dubreka","GIN005002","Surveillance & suivi","Superviseurs de district","CDC","Formation de superviseurs de district",,"en ecours"
"Forecariah","GIN005003","Surveillance & suivi","Superviseurs de district","OMS","Formation de superviseurs de district",,
"Forecariah","GIN005003","Surveillance & suivi","Superviseurs de district","CDC","Formation de superviseurs de district",,
"Forecariah","GIN005003","Surveillance & suivi","Superviseurs de district","plan","Formation de superviseurs de district",,
"Guéckédou","GIN008006","Surveillance & suivi","Superviseurs de district","OMS","Formation de superviseurs de district",,"en ecours"
"Guéckédou","GIN008006","Surveillance & suivi","Superviseurs de district","CDC","Formation de superviseurs de district",,"en ecours"
"Guéckédou","GIN008006","Surveillance & suivi","Superviseurs de district","plan","Formation de superviseurs de district",,"en ecours"
"Guéckédou","GIN008006","Surveillance & suivi","Superviseurs de district","MSF","Formation de superviseurs de district",,"en ecours"
"kankan","GIN004001","Surveillance & suivi","Superviseurs de district","UNFPA","Formation de superviseurs de district",,
"kankan","GIN004001","Surveillance & suivi","Superviseurs de district","CDC","Formation de superviseurs de district",,
"Kerouane","GIN004002","Surveillance & suivi","Superviseurs de district","UNFPA","Formation de superviseurs de district",,
"Kerouane","GIN004002","Surveillance & suivi","Superviseurs de district","CDC","Formation de superviseurs de district",,
"Kindia","GIN005004","Surveillance & suivi","Superviseurs de district","UNFPA","Formation de superviseurs de district",,"en ecours"
"Kindia","GIN005004","Surveillance & suivi","Superviseurs de district","CDC","Formation de superviseurs de district",,"en ecours"
"Kouroussa","GIN004003","Surveillance & suivi","Superviseurs de district","UNFPA","Formation de superviseurs de district",,
"Kouroussa","GIN004003","Surveillance & suivi","Superviseurs de district","CDC","Formation de superviseurs de district",,
"Labe","GIN006002","Surveillance & suivi","Superviseurs de district","UNFPA","Formation de superviseurs de district",,
"Labe","GIN006002","Surveillance & suivi","Superviseurs de district","CDC","Formation de superviseurs de district",,
"Lola","GIN008002","Surveillance & suivi","Superviseurs de district","OMS","Formation de superviseurs de district",,"en ecours"
